c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,tipo_municipio_isla_rea_no,categoria_municipio,comisarias_ley_2126_100_000,existencia_de_comisarias,nombre_comisaria,direcci_n_comisara,telefono_de_contacto,horario_de_atenci_n,longitud_de_ubicaci_n_de,latitud_de_ubicaci_n_de_la,coordenadas_de_ubicaci_n,fuente
5,ANTIOQUIA,5088,BELLO,Municipio,1,6,1,Comisaría Cuarta,Calle 20D # 42A-65,Null,"lunes a jueves de 7:00 a. m. a 12:00 m. y de 1:30 p. m. a 5:00 de la tarde, y los viernes de 7:00 de la mañana a 12:00 m. y de 1:30 p.m. a 4:00 p. m.",6307490,"-75,551,670","6°18'27.0""N 75°33'06.0""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5266,ENVIGADO,Municipio,1,3,2,Comisaría de Familia Tercera,Calle 40 Sur# 24F106,604) 3394000 ext. 4035,"Lunes a Viernes de
7:00 a.m. a 12:00 m y
de 1:00 a 5:00 p.m.",6148884,"-75,577,145","6°08'56.0""N 75°34'37.7""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5266,ENVIGADO,Municipio,1,3,2,Comisaría de Familia Cuarta,Calle 40 Sur# 24F106,604) 3394000 ext. 4091,"Lunes a Viernes de
7:00 a.m. a 12:00 m y
de 1:00 a 5:00 p.m.",6148884,"-75,577,145","6°08'56.0""N 75°34'37.7""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5360,ITAGUI,Municipio,1,3,5,Comisaría Centro 1,carrera 51 # 54 - 36,377 12 86,Null,6174153,"-75,606,522","6°10'27.0""N 75°36'23.5""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5360,ITAGUI,Municipio,1,3,5,Comisaría Centro 2,carrera 51 # 52 - 09,"373 76 76, extensión 1290 – 1292",Null,6173500,-75.608502,"6°10'24.6""N 75°36'30.6""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5360,ITAGUI,Municipio,1,3,5,Comisaría zona sur,"calle 33 # 50C, barrio Las Margarita (Hogar de Los Recuerdos)",372 91 91,L-V 8-5,6165186,"-75,622,407","6°09'54.7""N 75°37'20.7""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5360,ITAGUI,Municipio,1,3,5,Comisaría zona norte,"carrera 52 A # 74 - 67, Santa María (Casa de la Justicia)","402 56 00, extensión 1017",Null,6185469,-75.597206,"6°11'07.7""N 75°35'49.9""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5360,ITAGUI,Municipio,1,3,5,Comisaría zona rural,diagonal a la Subestación de Policía Los Gómez,372 61 16,L-V 8-5,6190008,"-75,610,528","6°11'24.0""N 75°36'37.9""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5615,RIONEGRO,Municipio,1,2,3,Comisaria Primera de Familia el Porvenir,Calle 42 # 61E - 32,(604) 5204060 ext6100,L-V 8-5,6148311,"-75,383,049","6°08'53.9""N 75°22'59.0""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5615,RIONEGRO,Municipio,1,2,3,Comisaría Tercera de Familia Cuatro Esquinas,Cl. 52 #03 44,604) 5204060 EXT 4115,L-V 8-5,6155433,"-75,368,934","6°09'19.6""N 75°22'08.2""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5615,RIONEGRO,Municipio,1,2,3,Comisaria Cuarta de Familia San Antonio,Calle 24 # 55B - 61,(604) 5204060 EXT 5300,L-V 8-5,"6.130681,","-75,381,089","6°07'50.5""N 75°22'51.9""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5631,SABANETA,Municipio,1,1,1,Comisaría de Familia 1,Cr 45 # 68 Sur - 47,"(604) 4406801
Ext.1313 comisaria1@sabaneta.gov.co","Lunes a Jueves 8:00 a.m. a 12:00 m - 2:00 p.m. a 6:00p.m -
Viernes 8:00 a.m. a 12:00 m - 2:00 p.m. a 5:00p.m",6152138,"-75,615,239","6°09'07.7""N 75°36'54.9""W",Directorio Comisarias Ley 2126
15,BOYACA,15001,TUNJA,Municipio,1,2,6,COMISARÍA PRIMERA DE FAMILIA,Transversal 15 No. 20-65 Salida Vía a Villa De Leyva,3168190269,Lunes a Viernes: De 8 a.m. hasta 12 m. / De 2 p.m. hasta 6 p.m.,5535194,"-73,367,046","5°32'06.7""N 73°22'01.4""W",Directorio Comisarias Ley 2126
15,BOYACA,15001,TUNJA,Municipio,1,2,6,COMISARÍA SEGUNDA DE FAMILIA,Carrera 11 No. 6-25 Barrio Libertador,3182547577,Lunes a Viernes: De 8 a.m. hasta 12 m. / De 2 p.m. hasta 6 p.m.,5520745,"-73,367,049","5°31'14.7""N 73°22'01.4""W",Directorio Comisarias Ley 2126
15,BOYACA,15001,TUNJA,Municipio,1,2,6,COMISARÍA TERCERA DE FAMILIA,Carrera 2B No. 4A - 35 Barrio Cooservicios,3184654182,Lunes a Viernes: De 8 a.m. hasta 12 m. / De 2 p.m. hasta 6 p.m.,5525082,"-73,355,564","5°31'30.3""N 73°21'20.0""W",Directorio Comisarias Ley 2126
15,BOYACA,15001,TUNJA,Municipio,1,2,6,COMISARÍA CUARTA DE FAMILIA,Carrera 6 No. 47 - 29 Frente a Centro Norte,3156014896,Lunes a Viernes: De 8 a.m. hasta 12 m. / De 2 p.m. hasta 6 p.m.,5555371,"-73,351,077","5°33'19.3""N 73°21'03.9""W",Directorio Comisarias Ley 2126
15,BOYACA,15001,TUNJA,Municipio,1,2,6,COMISARÍA QUINTA DE FAMILIA,Transversal 2A No. 65 - 36 Barrio Los Muiscas,3153682446,Lunes a Viernes: De 8 a.m. hasta 12 m. / De 2 p.m. hasta 6 p.m.,"5.570090,","-73,336,477","5°34'12.3""N 73°20'11.3""W",Directorio Comisarias Ley 2126
15,BOYACA,15001,TUNJA,Municipio,1,2,6,COMISARÍA SEXTA DE FAMILIA,Carrera 9 No. 17 – 96 Segundo Piso Centro,3182843260,Lunes a Viernes: De 8 a.m. hasta 12 m. / De 2 p.m. hasta 6 p.m.,5530687,"-73,361,496","5°31'50.5""N 73°21'41.4""W",Directorio Comisarias Ley 2126
17,CALDAS,17001,MANIZALES,Municipio,1,5,2,Comisaría Primera de Familia - Comuna Cumanday,"Cl. 33 #20-2 a 20-84, Manizales, Caldas",Null,Null,"5.068974,","-75,510,600","5°04'08.3""N 75°30'38.2""W",Directorio Comisarias Ley 2126
17,CALDAS,17001,MANIZALES,Municipio,1,5,2,Comisaría Tercera de Familia,"Cl. 48 D #3c130 2, Manizales, Caldas",6068757070,"viernes, 7 a. m.a3 p. m.","5.083631,","-75,490,031","5°05'01.1""N 75°29'24.1""W",Directorio Comisarias Ley 2126
19,CAUCA,19001,POPAYAN,Municipio,1,4,1,COMISARÍA DE FAMILIA DE POPAYÁN,Edificio el CAM Carrera 6 # 4-21,"(572)8333033, 8243075, 3154679004",Lunes a Viernes De 8:00 a.m. a 12:00 p.m. Y 2:00 p.m. a 5:30 p.m.,2441462,"-76,605,000","2°26'29.3""N 76°36'18.0""W",Directorio Comisarias Ley 2126
20,CESAR,20001,VALLEDUPAR,Municipio,1,6,2,Comisaria de familia la Nevada,"Cl. 7 E #42-83, Valledupar, Cesar",Null,Null,10475394,"-73,282,789","10°28'31.4""N 73°16'58.0""W",Directorio Comisarias Ley 2126
20,CESAR,20001,VALLEDUPAR,Municipio,1,6,2,Comisaria de famialia primero de mayo,"#28-1 a, Cra. 22 #2875, Valledupar, Cesar",Null,L-V 8-5,"10.453797,","-73,252,916","10°27'13.7""N 73°15'10.5""W",Directorio Comisarias Ley 2126
23,CORDOBA,23001,MONTERIA,Municipio,1,6,1,CASA DE JUSTICIA MONTERIA - CORDOBA,"a 13a-42, Cl. 1a #13a-2, Montería, Córdoba",7910110,L-V 8-5,8726601,"-75,887,162","8°43'35.8""N 75°53'13.8""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25175,CHIA,Municipio,1,2,2,Comisaria la Libertad,Cl. 10 #11-36,8844444 EXT 3305,L-V 8-5,4860495,"-74,061,441","4°51'37.8""N 74°03'41.2""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25175,CHIA,Municipio,1,2,2,Comisaria Bojaca,"Cl. 29 #1 Este-124 a, Cra. 1 #2, Chía, Cundinamarca",3502823796,L-V 8-5,4874547,"-74,040,061","4°52'28.4""N 74°02'24.2""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25286,FUNZA,Municipio,1,2,2,Comisaria 1,"Cra 12A #8 - 18 A, Funza, Cundinamarca",Null,L-V 8-5,4715704,"-74,206,123","4°42'56.5""N 74°12'22.0""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25286,FUNZA,Municipio,1,2,2,Comisaria 2,"Cl. 18 #9-2 a 9-80, Funza, Cundinamarca",Null,L-V 8-5,4714139,"-74,215,725","4°42'50.9""N 74°12'56.6""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25473,MOSQUERA,Municipio,1,2,3,comisaria 3,calle 17ª N° 14-45 en el Barrio Praderas,18276366,L-V 8-5,4.720150,"-74,225,587","4°43'12.5""N 74°13'32.1""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25754,SOACHA,Municipio,1,9,3,Comisaria 1,Autopista Sur N 34- 70,"601 8400022
601 8400023",L-V 8-5,4579226,"-74,217,896","4°34'45.2""N 74°13'04.4""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25754,SOACHA,Municipio,1,9,3,Comisaria 2,Carrera 11 No. 16 - 80 Barrio Villa Clara,Null,L-V 8-5,4585875,"-74,217,187","4°35'09.2""N 74°13'01.9""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25754,SOACHA,Municipio,1,9,3,comisaria 3,Calle 20sur No. 9-18 Compartir,601 7224352,L-V 8-5,4565412,"-74,237,972","4°33'55.5""N 74°14'16.7""W",Directorio Comisarias Ley 2126
41,HUILA,41001,NEIVA,Municipio,1,4,1,Comisaria 1,Carrera 8 No. 6-61 Primer Piso Neiva - Huila,Null,L-V 8-5,2926987,"-75,285,544","2°55'37.2""N 75°17'08.0""W",Directorio Comisarias Ley 2126
41,HUILA,41001,NEIVA,Municipio,1,4,1,Comisaria 2,Carrera 8 No. 6-61 Primer Piso Neiva - Huila,Null,L-V 8-5,2926987,"-75,285,544","2°55'37.2""N 75°17'08.0""W",Directorio Comisarias Ley 2126
41,HUILA,41001,NEIVA,Municipio,1,4,1,Comisaria 3,Carrera 8 No. 6-61 Primer Piso Neiva - Huila,Null,L-V 8-5,2926987,"-75,285,544","2°55'37.2""N 75°17'08.0""W",Directorio Comisarias Ley 2126
41,HUILA,41001,NEIVA,Municipio,1,4,1,Comisaría de Familia-Casa de Justicia,"Casa de Justicia- Calle 2 C No.28-14, Barrio Los Parques,  Neiva- Huila.",Null,L-V 8-5,2926858,"-75,269,404","2°55'36.7""N 75°16'09.9""W",Directorio Comisarias Ley 2126
47,MAGDALENA,47001,SANTA MARTA,Municipio,1,6,2,Comisaría Norte,Carrera 16 N° 31A – 34,4209600 Ext. 1358 1356,L-V 8-5,11226123,"-74,204,348","11°13'34.0""N 74°12'15.7""W",Directorio Comisarias Ley 2126
50,META,50001,VILLAVICENCIO,Municipio,1,6,1,Comisaria 1,calle 23 no. 37l-14 barrio teusaca,57 (8) 6719462,L-V 8-5,4136292,"-73,634,815","4°08'10.7""N 73°38'05.3""W",Directorio Comisarias Ley 2126
50,META,50001,VILLAVICENCIO,Municipio,1,6,1,Comisaria 2,calle 54 sur no.39-59 ciudad porfía-casa de justicia,57 (8)   6707160 3213133771,L-V 8-5,4082269,-73.667449,"4°04'56.2""N 73°40'02.8""W",Directorio Comisarias Ley 2126
50,META,50001,VILLAVICENCIO,Municipio,1,6,1,Comisaria 3,Calle 34 No.40-03 Barzal Alto- 3º Piso Edificio Caima,57 (8) 6730674,L-V 8-5,4144739,"-73,640,689","4°08'41.1""N 73°38'26.5""W",Directorio Comisarias Ley 2126
52,NARINO,52001,PASTO,Municipio,1,5,3,Comisaría Segunda de Familia,Calle 21b No 2-36 Santa Barbara,Null,L-V 8-5,1204964,"-77,258,439","1°12'17.9""N 77°15'30.4""W",Directorio Comisarias Ley 2126
52,NARINO,52001,PASTO,Municipio,1,5,3,Comisaría Tercera de Familia,Carrera 48 No. 17 - 17,Null,L-V 8-5,1229462,"-77,292,255","1°13'46.1""N 77°17'32.1""W",Directorio Comisarias Ley 2126
54,NORTE DE SANTANDER,54001,SAN JOSE DE CUCUTA,Municipio,1,9,1,Comisaria de familia permanente de Cucuta,Avenida 6 # 1 A - 105,57(607) 587 15 88,L-V 8-5,7929916,"-72,502,303","7°55'47.7""N 72°30'08.3""W",Directorio Comisarias Ley 2126
63,QUINDIO,63001,ARMENIA,Municipio,1,4,1,Comisaria 1,PLAZA MINORÍSTA BARRIO SAN JOSE,(606) 7403005,L-V 8-5,4539894,"-75,683,601","4°32'23.6""N 75°41'01.0""W",Directorio Comisarias Ley 2126
63,QUINDIO,63001,ARMENIA,Municipio,1,4,1,Comisaria 2,EDIFICIO CASE CARRERA 17 # 14-20 PISO 2,(606) 7467324,L-V 8-5,4537160,"-75,671,566","4°32'13.8""N 75°40'17.6""W",Directorio Comisarias Ley 2126
63,QUINDIO,63001,ARMENIA,Municipio,1,4,1,Comisaria 3,B/CAÑAS GORDAS MZ 9 CASA 11- CASA DE JUSTICIA,(606) 7372020,L-V 8-5,4506933,"-75,695,729","4°30'25.0""N 75°41'44.6""W",Directorio Comisarias Ley 2126
66,RISARALDA,66001,PEREIRA,Municipio,1,5,4,Comisaría de familia centro,Calle 14 #5 - 20,322 8615713,L-V 8-5,4815791,-75.689880,"4°48'56.9""N 75°41'23.6""W",Directorio Comisarias Ley 2126
66,RISARALDA,66001,PEREIRA,Municipio,1,5,4,Comisaría de familia nororiental,"Manzana 56, casa 8, barrio San Vicente alto, junto a la estación de Policía",322 8615715,L-V 8-5,4797717,-75.669111,"4°47'51.8""N 75°40'08.8""W",Directorio Comisarias Ley 2126
66,RISARALDA,66001,PEREIRA,Municipio,1,5,4,Comisaría de familia barrio Galán,Carrera 2 Bis #33 - 46,320 7274305,L-V 8-5,4819340,"-75,700,991","4°49'09.6""N 75°42'03.6""W",Directorio Comisarias Ley 2126
66,RISARALDA,66001,PEREIRA,Municipio,1,5,4,Comisaría de familia suroccidental,Carrera 24 #70B - 10,322 8615707,L-V 8-5,4805799,"-75,739,315","4°48'20.9""N 75°44'21.5""W",Directorio Comisarias Ley 2126
68,SANTANDER,68081,BARRANCABERMEJA,Municipio,1,3,2,Centro de Convivencia Ciudadana,Calle 54 Cra 36E,6216674,L-V 8-5,7063968,"-73,839,247","7°03'50.3""N 73°50'21.3""W",Directorio Comisarias Ley 2126
68,SANTANDER,68081,BARRANCABERMEJA,Municipio,1,3,2,Centro de atención regional a victimas,"Dg. 60 #Cl 65B-409, Barrancabermeja, Santander",313 331 6484,L-V 8-5,7071727,"-73,843,990","7°04'18.2""N 73°50'38.4""W",Directorio Comisarias Ley 2126
68,SANTANDER,68276,FLORIDABLANCA,Municipio,1,4,1,Comisaria de familia de Floridablanca,"Av. 60 #42-63, Floridablanca, Santander",Null,L-V 8-5,7084445,"-73,086,255","7°05'04.0""N 73°05'10.5""W",Directorio Comisarias Ley 2126
73,TOLIMA,73001,IBAGUE,Municipio,1,6,1,Comisaría Familia del sur,Null,Null,Null,Null,Null,Null,Directorio Comisarias Ley 2126
73,TOLIMA,73001,IBAGUE,Municipio,1,6,1,Comisaría de Familia del Norte,Null,Null,Null,Null,Null,Null,Directorio Comisarias Ley 2126
73,TOLIMA,73001,IBAGUE,Municipio,1,6,1,Comisaría de Familia (Fiscalía),Null,Null,Null,Null,Null,Null,Directorio Comisarias Ley 2126
73,TOLIMA,73001,IBAGUE,Municipio,1,6,1,Comisaría Permanente de Familia,"Cra. 5 #6-38, Ibagué, Tolima",3165262354,L-V 8-5,4447701,"-75,244,612","4°26'51.7""N 75°14'40.6""W",Directorio Comisarias Ley 2126
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia Móvil,Null,321 5813764,"Atención de lunes a viernes de 7:00 a.m. a 4:00 p.m., jornada continua.",Null,Null,Null,Directorio Comisarias Ley 2126
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia de Rozo,Calle 10 # 11 – 05,321 5813764,"Atención los lunes, miércoles y viernes, de 7:30 a.m. a 12:30 p.m. y de 1:30 p.m. a 4:30 p.m.",3614674,"-76,387,812","3°36'52.8""N 76°23'16.1""W",Directorio Comisarias Ley 2126
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia ubicada en la Casa de Justicia,"Calle 57 # 44 – 02, barrio Caimitos",2859694 – 318 8276379,"Atención de lunes a viernes, de 7:00 a.m. a 4:00 p.m., jornada continua.",3548598,"-76,315,400","3°32'55.0""N 76°18'55.4""W",Directorio Comisarias Ley 2126
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia del Centro de Atención Integral (CeAI),"Carrera 28 # 27 – 68, edificio de la Fiscalía General de la Nación, seccional Palmira, tercer piso.",317 4976717,atención de lunes a viernes de 7:30 a.m. a 12:30 p.m. y de 1:30 p.m. a 5:00 p.m.,"3,525,076.00","-76,299,242","3°31'30.3""N 76°17'57.3""W",Directorio Comisarias Ley 2126
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia Central,"Calle 23 # 28A – 15, barrio Nuevo.",2859732 – 2859736 – 317 5100201.,24 horas del día,3520759,"-76,295,233","3°31'14.7""N 76°17'42.8""W",Directorio Comisarias Ley 2126
76,VALLE DEL CAUCA,76892,YUMBO,Municipio,1,2,2,Comisaría de Familia de Yumbo,Calle 1A No. 3-29 barrio Belalcázar de Yumbo (Valle),6570634- Celular 3505377406,L-V 8-5,3584837,"-76,498,724","3°35'05.4""N 76°29'55.4""W",Directorio Comisarias Ley 2126
76,VALLE DEL CAUCA,76892,YUMBO,Municipio,1,2,2,"cOMISARIA 1, 2, 3 Y 4",Carrera 33 # 26 A - 12,+57 (60+8) 6345913 Extensión 1021 - 1022 - 1023,L-V 8-5,5340192,"-72,381,773","5°20'24.7""N 72°22'54.4""W",Directorio Comisarias Ley 2126
85,CASANARE,85001,YOPAL,Municipio,1,2,1,Null,Null,Null,Null,Null,Null,Null,Directorio Comisarias Ley 2126
5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,Municipio,2,1,1,Comisaria de Familia EL CARMEN DE VIBORAL,"carrera 27 N°29-23 Piso 2 casa de
Justicia",5433333 Ext- 110- 3144808518,L-V 8-5,6090239,"-75,335,073","6°05'24.9""N 75°20'06.3""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5308,GIRARDOTA,Municipio,2,1,1,Comisaria de familia de girardota,Calle 6 No. 14 - 43,Conmutador: (+57) 4 3224299,Horario de Atención: Lunes a jueves 7:00 a.m. 12:00 p.m. y de 1:00 p.m. a 5:00 p.m.Viernes de 7:00 a.m. a 05:00 p.m. y 1:00 p.m. a 400 p.m.,6377309,"-75,445,503","6°22'38.3""N 75°26'43.8""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5318,GUARNE,Municipio,2,1,1,Comisaria de familia de Guarne 1 y 2,CALLE 52 N° 51-26,313 652 59 96 - 551 02 93,L-V 8-5,6276245,"-75,439,132","6°16'34.5""N 75°26'20.9""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5376,LA CEJA,Municipio,2,1,1,Comisaria de familia de la Ceja,Carrera 17 # 20 - 53,553 10 40 EXT 124 125,L-V 8-5,6030669,"-75,428,729","6°01'50.4""N 75°25'43.4""W",Directorio Comisarias Ley 2126
5,ANTIOQUIA,5380,LA ESTRELLA,Municipio,2,1,1,Null,Null,Null,Null,Null,Null,Null,Directorio Comisarias Ley 2126
5,ANTIOQUIA,5736,SEGOVIA,Municipio,2,1,1,Comisaria de Familia,"Carrera 48 # 48 – 88, Calle los Angeles (Casa de Justicia)","(+60)(4) 8315860 EXT 4001, 4002",L-V 8-5,7080403,"-74,699,643","7°04'49.5""N 74°41'58.7""W",Directorio Comisarias Ley 2126
8,ATLANTICO,8758,SOLEDAD,Municipio,2,7,2,Comisaria 1 de soledad,Carrera 30 # 26 - 04,Null,L-V 8-5,10941420,"-74,802,521","10°56'29.1""N 74°48'09.1""W",Directorio Comisarias Ley 2126
8,ATLANTICO,8758,SOLEDAD,Municipio,2,Null,2,Comisaria 3 de soledad,cra 22 # 60 -28,Null,L-V 8-5,10919008,", -74.797420","10°55'08.4""N 74°47'50.7""W",Directorio Comisarias Ley 2126
15,BOYACA,15572,PUERTO BOYACA,Municipio,2,1,1,Comisaria de Familia,Carrera 5 entre calle 20 - 21,Null,L-V 8-5,5975274,"-74,583,424","5°58'31.0""N 74°35'00.3""W",Directorio Comisarias Ley 2126
15,BOYACA,15759,SOGAMOSO,Municipio,2,2,3,Comisaria 1 de Sogamoso,Edificio El Pintor Calle 15 N° 11-79 Piso 5,608  7710513,L-V 8-5,5718809,"-72,927,165","5°43'07.7""N 72°55'37.8""W",Directorio Comisarias Ley 2126
15,BOYACA,15759,SOGAMOSO,Municipio,2,Null,3,Comisaria 2 de Sogamoso,Calle 11 # 9-32,608  7721128,L-V 8-5,5713655,"-72,926,955","5°42'49.2""N 72°55'37.0""W",Directorio Comisarias Ley 2126
15,BOYACA,15759,SOGAMOSO,Municipio,2,Null,3,Comisaria 3 de Sogamoso,Edificio c arrera 32 No.7-127 (centro de Convivencia) Barrio La Isla,608 7706993,L-V 8-5,"5,720,357","-72,944,352","5°43'13.2""N 72°56'39.3""W",Directorio Comisarias Ley 2126
18,CAQUETA,18001,FLORENCIA,Municipio,2,2,1,COMISARIA DE FAMILIA DE FLORENCIA,"Carrera 10 # Cl. 18 esquina, Cl. 18 #9-49, Florencia, Caquetá",84358100,L-V 8-5,"1,618,350","-75,612,483","1°37'06.1""N 75°36'44.9""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25126,CAJICA,Municipio,2,2,2,Comisaria 1 cajica,"Cra. 12 #18 25, Cajicá, Cundinamarca",3173695628,L-V 8-5,4917485,"-74,024,751","4°55'03.0""N 74°01'29.1""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25214,COTA,Municipio,2,1,1,Comisaria 1 de Cajica,Carrera 5 No. 1 - 19 Centro Comercial Cedro Mall,3502523231		comisaria@alcaldiacota.gov.co,L-V 8-5,4802550,"-74,108,200","4°48'09.2""N 74°06'29.5""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25269,FACATATIVA,Municipio,2,2,2,Comisaría de Familia Primera,Calle 13 A # 6-13 Barrio Laureles,"Cel. 311 809 8182
Correo electrónico:
comisaria1facatativa@yahoo.com",L-V 8-5,"4,819,323","-74,358,520","4°49'09.6""N 74°21'30.7""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25269,FACATATIVA,Municipio,2,Null,2,Comisaría de Familia Segunda,Calle 13 A # 6–13 Barrio Laureles,"Cel. 315 258 0528
Correo electrónico:
csegundadefamiliafacatativa@gmail.com",L-V 8-5,"4,819,323","-74,358,520","4°49'09.6""N 74°21'30.7""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25290,FUSAGASUGA,Municipio,2,2,3,"Comisaria de familia 1,2 y 3",Calle quinta # 6-49,"Cel. 314 460 6118
Correo electrónico:
comisariadefamilia@fusagasugacundinamarca.gov.co",L-V 8-5,4344935,"-74,361,946","4°20'41.8""N 74°21'43.0""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25290,FUSAGASUGA,Municipio,2,Null,Null,"Comisaria de familia 1,2 y 3",Calle quinta # 6-49,"Cel. 314 460 6118
Correo electrónico:
comisariadefamilia@fusagasugacundinamarca.gov.co",L-V 8-5,4344935,"-74,361,946","4°20'41.8""N 74°21'43.0""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25307,GIRARDOT,Municipio,2,2,2,Comisaría Primera,Calle 14 # 11- 59 Centro,"Cel. 312 314 4684
Correo electrónico:
comisaria1@girardot-cundinamarca.gov.co",L-V 8-5,4294595,"-74,808,629","4°17'40.5""N 74°48'31.1""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25307,GIRARDOT,Municipio,2,Null,2,Comisaría Segunda,"Calle 16 con Carrera 16 antiguas
instalaciones del Ituc","Cel. 310 805 5003
Correo electrónico:
comisaria2@girardot-cundinamarca.gov.co",L-V 8-5,4298013,"-74,809,896","4°17'52.9""N 74°48'35.6""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25430,MADRID,Municipio,2,2,2,Comisaría Primera de madrid,"a 7b-37, Cl. 9 #7b-1, Madrid, Cundinamarca",18250028,L-V 8-5,4734727,"-74,262,894","4°44'05.0""N 74°15'46.4""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25430,MADRID,Municipio,2,Null,Null,Comisaría Segunda de madrid,"a 7b-37, Cl. 9 #7b-1, Madrid, Cundinamarca",Null,L-V 8-5,4732784,"-74,262,994","4°43'58.0""N 74°15'46.8""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25817,TOCANCIPA,Municipio,2,1,2,COMISARIA DE FAMILIA UNO,Carrera 7 No. 10-17 1er Piso Oficina 106 Casa de Justicia Centro Tocancipá,"Email: comisariadefamilia1@tocancipa.gov.co

Teléfono: 311 4698081",L-V 8-5,4965910,"-73,914,146","4°57'57.3""N 73°54'50.9""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25817,TOCANCIPA,Municipio,2,Null,2,COMISARIA DE FAMILIA DOS,Carrera 7 No. 10-17 1er Piso Oficina 107 Casa de Justicia Centro Tocancipá,"Email: comisariadefamilia2@tocancipa.gov.co

Teléfono: 318 803 06 96",L-V 8-5,4965910,"-73,914,146","4°57'57.3""N 73°54'50.9""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25899,ZIPAQUIRA,Municipio,2,2,3,Comisaría Primera,Carrera 11 a # 5-21 Barrio Algarra 1,"Cel. 315 358 3130
Correo electrónico:
comisariadefamiliazipaquira@gmail.com",L-V 8-5,5037625,"-73,993,797","5°02'15.5""N 73°59'37.7""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25899,ZIPAQUIRA,Municipio,2,Null,3,Comisaría Segunda,Avenida 15 o Carrera 16 # 7d- 43,"Cel. 313 851 8714
Correo electrónico:
comisariasegundafamiliazipa@gmail.com",L-V 8-5,5023891,"-73,995,801","5°01'26.0""N 73°59'44.9""W",Directorio Comisarias Ley 2126
25,CUNDINAMARCA,25899,ZIPAQUIRA,Municipio,2,Null,3,Comisaría Tercera,Carrera tercera # 2f - 35,"Cel. 312 494 6335
Correo electrónico:
comisariamovildefamilia@gmail.com",L-V 8-5,5006273,"-73,978,624","5°00'22.6""N 73°58'43.1""W",Directorio Comisarias Ley 2126
50,META,50568,PUERTO GAITAN,Municipio,2,1,1,Comisaria de familia,Null,3208747467,L-V 8-5,Null,Null,Null,Directorio Comisarias Ley 2126
66,RISARALDA,66170,DOSQUEBRADAS,Municipio,2,3,2,Comisaría Primera de familia,"Carrera 19 #17-20, Santa
Mónica, Dosquebradas,
Risaralda","(6)3156665
ext.150, 151",L-V 8-5,4823836,"-75,680,635","4°49'25.8""N 75°40'50.3""W",Directorio Comisarias Ley 2126
66,RISARALDA,66170,DOSQUEBRADAS,Municipio,2,Null,2,"Comisaría Segunda de
familia","Carrera 21 # 66-21 /Plan 3
Zona 6 Camilo Torres,
Dosquebradas, Risaralda",(6) 3289101,L-V 8-5,4852449,"-75,654,570","4°51'08.8""N 75°39'16.5""W",Directorio Comisarias Ley 2126
